regime,share_IV_underpriced,p95_RV_minus_IV,worst_RV_minus_IV,alpha_left(losses),ann_vol_%,recommended_posture
Calm,0.168,4.672,16.689,3.28,11.76,"CAUTION: trim inventory, modest pre-event spread widening"
Inflationary,0.147,8.379,67.732,2.82,11.71,"CAUTION: trim inventory, modest pre-event spread widening"
Tightening-stress,0.172,5.993,34.852,4.51,20.99,REDUCE inventory · WIDEN spreads · raise hedge frequency · cut overnight risk
Crisis,0.293,35.664,60.271,2.94,44.86,REDUCE inventory · WIDEN spreads · raise hedge frequency · cut overnight risk
